iter	RMSE
0	1.698744076
1	1.689459433
2	1.679235429
3	1.66950638
4	1.660353096
5	1.650508943
6	1.640792958
7	1.631750795
8	1.622430294
9	1.61361293
10	1.604338522
11	1.59481865
12	1.585918934
13	1.576385807
14	1.567644149
15	1.559319417
16	1.55110658
17	1.5421627
18	1.533241182
19	1.524838854
20	1.517393195
21	1.509136104
22	1.501412269
23	1.49352101
24	1.485794088
25	1.478059235
26	1.470634839
27	1.462749334
28	1.455194764
29	1.448038474
30	1.440946078
31	1.433014567
32	1.425756913
33	1.41825698
34	1.411689241
35	1.404568796
36	1.397374681
37	1.390539583
38	1.383679436
39	1.377502169
40	1.370477753
41	1.364294487
42	1.357939345
43	1.351106715
44	1.344607845
45	1.338224881
46	1.33220855
47	1.325683431
48	1.319451409
49	1.312966185
50	1.306433485
51	1.300666195
52	1.294652662
53	1.289134093
54	1.283354219
55	1.277553184
56	1.27173173
57	1.26601942
58	1.260138634
59	1.255058485
60	1.249818973
61	1.244616036
62	1.239392217
63	1.233948506
64	1.228706589
65	1.223454605
66	1.217875819
67	1.212715005
68	1.207634805
69	1.202365995
70	1.197056616
71	1.191755129
72	1.187027092
73	1.182311584
74	1.177808579
75	1.174426605
76	1.169521072
77	1.165065651
78	1.160649422
79	1.15604456
80	1.151360839
81	1.147127963
82	1.142518184
83	1.13837583
84	1.133943537
85	1.129667691
86	1.125663422
87	1.12166067
88	1.117971096
89	1.113628049
90	1.109720015
91	1.105574246
92	1.101690269
93	1.097770537
94	1.093830174
95	1.089860669
96	1.086694747
97	1.082827366
98	1.079336669
99	1.075662682
100	1.072231239
101	1.068473253
102	1.064914814
103	1.06131019
104	1.057955862
105	1.054595488
106	1.051001869
107	1.047327315
108	1.043941357
109	1.040642924
110	1.03740556
111	1.034355612
112	1.03088135
113	1.027756151
114	1.024899143
115	1.021750293
116	1.018674123
117	1.015832555
118	1.012674279
119	1.009835277
120	1.006653897
121	1.003790066
122	1.000750589
123	0.9978197043
124	0.9952549544
125	0.9924953937
126	0.9896455122
127	0.9867170995
128	0.9839164637
129	0.9812573785
130	0.9785535892
131	0.9757249422
132	0.9730831833
133	0.9704119829
134	0.9678288256
135	0.9654103105
136	0.9629653653
137	0.9605201737
138	0.9579452796
139	0.9555033272
140	0.9531608323
141	0.9507345714
142	0.9482228871
143	0.9458991814
144	0.9435923103
145	0.9410947026
146	0.9386954833
147	0.9368469881
148	0.9344562771
149	0.9320772615
150	0.9302693359
151	0.9279287738
152	0.9255563389
153	0.9232627138
154	0.9210717732
155	0.9188729858
156	0.9164175654
157	0.9142237562
158	0.9120440293
159	0.9098040936
160	0.9076468229
161	0.905301004
162	0.903002658
163	0.9008970489
164	0.8988826941
165	0.8966133721
166	0.8944671982
167	0.8931349137
168	0.8913074007
169	0.8893313087
170	0.8874612602
171	0.885434045
172	0.8833836567
173	0.8814174064
174	0.8797060216
175	0.877702915
176	0.8759035301
177	0.8740994882
178	0.8723520487
179	0.8702670346
180	0.8683613954
181	0.8666093018
182	0.8648347693
183	0.8629018077
184	0.8610339577
185	0.8593889182
186	0.8575377035
187	0.8557758334
188	0.8539479901
189	0.8523342042
190	0.8506982044
191	0.8490756413
192	0.8472842146
193	0.8455812453
194	0.8437227542
195	0.8421009194
196	0.8405353469
197	0.8387768361
198	0.8372438408
199	0.8355862525
200	0.8338293776
201	0.8323320212
202	0.8310874843
203	0.8294671204
204	0.8278675198
205	0.8264001214
206	0.8249382621
207	0.8234719678
208	0.8219727394
209	0.8206178728
210	0.819338078
211	0.8179155777
212	0.8165002767
213	0.8150901966
214	0.8137826636
215	0.8122519174
216	0.8111136563
217	0.8098611368
218	0.8087045717
219	0.8071657
220	0.8056619647
221	0.8041881929
222	0.8026660612
223	0.8013229345
224	0.8000410895
225	0.7987309145
226	0.7974645157
227	0.7963321792
228	0.7948647038
229	0.7934567352
230	0.791836445
231	0.7905064715
232	0.7888315597
233	0.7875087081
234	0.786115682
235	0.7848130802
